transcript_id,ERR5060645,ERR5060646
transcript:Os12t0587100-00,49,107
transcript:Os03t0441601-01,246,303
transcript:Os06t0188875-00,11,17
transcript:Os03t0135200-01,12,10
transcript:Os03t0418000-00,94,39
transcript:Os12t0638100-02,0,0
transcript:Os01t0716300-00,24,42
transcript:Os12t0638100-01,794,915
transcript:Os09t0547200-02,0,24
transcript:Os05t0552300-02,1585,2108
transcript:Os09t0547200-01,165,102
transcript:Os09t0567500-01,43,45
transcript:Os12t0503550-00,0,0
transcript:Os09t0567500-02,0,0
transcript:Os10t0100900-01,75,48
transcript:Os06t0611050-00,14,31
transcript:Os05t0106300-00,0,5
transcript:Os11t0302500-01,768,1494
transcript:Os11t0704550-01,413,502
transcript:Os02t0661600-00,8,9
transcript:Os01t0706400-03,21,80
transcript:Os01t0706400-02,0,0
transcript:Os01t0706400-01,1204,2580
transcript:Os01t0516200-00,0,0
transcript:Os10t0434999-00,0,0
transcript:Os08t0109400-01,226,329
transcript:Os11t0137250-01,110,93
transcript:Os04t0225700-00,0,0
transcript:Os01t0807266-00,3,7
transcript:Os09t0509700-01,95,114
transcript:Os01t0615400-00,0,0
transcript:Os06t0317200-01,0,0
transcript:Os09t0488600-00,47,18
transcript:Os05t0200160-00,0,5
transcript:Os01t0851100-02,63,100
transcript:Os01t0851100-01,767,1830
transcript:Os02t0696650-00,333,381
transcript:Os12t0457200-01,0,0
transcript:Os04t0500900-00,29,12
transcript:Os02t0728100-01,440,519
transcript:Os01t0944100-01,76,167
transcript:Os01t0944100-02,18,87
transcript:Os01t0944100-03,80,247
transcript:Os10t0486300-00,0,9
transcript:Os02t0528500-02,3801,2593
transcript:Os02t0528500-01,5551,7202
transcript:Os06t0275550-00,3,4
transcript:ENSRNA049467057-T1,0,1
transcript:Os05t0184250-00,0,0
transcript:Os08t0205200-01,1418,2844
transcript:Os10t0450800-02,622,716
transcript:Os09t0372100-02,411,542
transcript:Os11t0250900-00,0,0
transcript:Os07t0691100-01,6,0
transcript:Os03t0102000-01,442,583
transcript:Os02t0738300-01,47,214
transcript:Os01t0227250-00,0,3
transcript:Os06t0607100-01,854,1076
transcript:Os12t0143100-01,1634,1777
transcript:Os10t0479700-02,304,624
transcript:Os01t0134800-01,10,2
transcript:Os01t0275300-01,318,330
transcript:Os01t0510800-01,2384,2890
transcript:Os11t0173100-01,10,2
transcript:Os08t0351300-01,127,146
transcript:Os05t0182100-01,949,1181
transcript:Os04t0685000-01,62,27
transcript:Os07t0686800-01,23,181
transcript:Os07t0636400-01,852,1016
transcript:Os06t0260500-00,49,107
transcript:Os10t0325150-00,1,0
transcript:Os12t0419000-00,84,70
transcript:Os01t0881500-01,2380,3980
transcript:Os01t0881500-02,917,3000
transcript:Os01t0770100-00,307,145
transcript:Os01t0549500-01,174,355
transcript:Os03t0681400-01,1556,2141
transcript:Os01t0549500-02,415,474
transcript:Os03t0317100-01,101,102
transcript:Os11t0161166-01,27,50
transcript:Os10t0376400-00,346,326
transcript:Os05t0420900-01,151,120
transcript:Os02t0828100-01,128,128
transcript:Os03t0411300-01,213,300
transcript:Os08t0369066-00,0,0
transcript:Os12t0605850-00,2,9
transcript:Os01t0105400-01,1390,1731
transcript:Os02t0107300-01,33,71
