gene_id,ERR5060645,ERR5060646
gene:Os01g0102700,5880,6461
gene:Os04g0417750,0,0
gene:Os10g0437400,0,0
gene:Os03g0358000,6358,9167
gene:Os02g0564200,2423,3586
gene:Os01g0112050,3,11
gene:Os02g0666800,1622,1798
gene:Os03g0799600,3522,3593
gene:Os02g0120200,0,0
gene:Os01g0153050,0,0
gene:Os02g0830000,32,45
gene:Os04g0382800,88,102
gene:Os11g0169100,1158,1621
gene:Os01g0957000,2583,5013
gene:Os09g0282701,54,52
gene:Os02g0720400,0,36
gene:Os05g0508800,469,1451
gene:Os05g0320800,241,518
gene:Os04g0150300,4652,2250
gene:Os09g0297300,610,456
gene:Os05g0392200,162,290
gene:Os02g0190100,0,6
gene:Os01g0354700,431,455
gene:Os01g0747300,65,118
gene:Os01g0681200,2069,2316
gene:Os02g0787000,3,2
gene:Os07g0195300,4,13
gene:Os02g0631801,0,0
gene:Os10g0126600,62,53
gene:Os11g0525800,379,346
gene:Os11g0448000,2681,2747
gene:Os10g0497100,1360,1228
gene:Os11g0686450,0,0
gene:Os12g0616200,2377,2854
gene:Os05g0406000,766,1245
gene:Os05g0207900,4591,6077
gene:Os12g0416300,1855,2517
gene:Os03g0359350,0,0
gene:Os02g0565150,110,110
gene:Os02g0289300,58,46
gene:Os07g0584200,111,555
gene:Os11g0225100,731,1056
gene:Os06g0176000,629,598
gene:Os08g0288000,2290,3088
gene:Os01g0818600,847,1592
gene:ENSRNA049446272,0,0
gene:Os07g0123450,84,81
gene:Os10g0147300,607,1158
gene:Os03g0405200,253,0
gene:Os03g0200200,166,277
gene:Os02g0729400,1563,1926
gene:Os05g0584200,2900,6337
gene:Os12g0147500,934,1110
gene:Os12g0515500,229,392
gene:Os04g0627132,0,0
gene:Os02g0824300,1291,2283
gene:Os01g0664200,2417,3307
gene:Os01g0902700,204,271
gene:ENSRNA049474225,0,1
gene:Os08g0346600,0,0
gene:Os08g0337700,373,522
gene:Os02g0578400,26,20
gene:Os08g0149333,0,0
gene:Os01g0133500,2318,2961
gene:Os07g0448100,3331,3105
gene:Os06g0265100,47,89
gene:Os02g0577600,0,0
gene:ENSRNA049474426,0,0
gene:ENSRNA049471546,0,4
gene:Os06g0567200,1903,3265
gene:Os12g0605300,810,1095
gene:Os04g0622501,10,9
gene:Os02g0491300,7,2
gene:Os04g0516600,2810,4046
gene:Os01g0523600,0,0
gene:Os03g0666850,196,268
gene:Os04g0602400,1066,1067
gene:Os01g0750900,70,118
gene:Os09g0320201,0,0
gene:Os12g0141900,850,880
gene:Os11g0605200,0,0
